# Character code table for jōyō kanji (2010)
# 常用漢字(2010年)と文字コードの対応表
# 
# Column 1: Kanji itself
# Column 2: Code point in JIS X 0213
# Column 3: Bit combination in GL (so-called 7-bit JIS code)
# Column 4: Bit combination in GR (EUC-JIS-2004)
# Column 5: Bit combination in SJIS (Shift_JIS-2004)
# Column 6: Code point in ISO/IEC 10646 UCS a.k.a. Unicode
#
# Distribution of this file is unlimited.
# This file is not authorized by any official organization.
# No warranty.
# 
# See also:
#   - Jōyō-kanji-hyō (常用漢字表)
#       http://www.bunka.go.jp/kokugo_nihongo/kokujikunrei_h221130.html
#   - JIS X 0213:2000/AMENDMENT 2:2012
#       7-bit and 8-bit double byte coded extended Kanji sets for 
#       information interchange (Amendment 2)
# 
# kanji, plane-row-cell, GL (7bit), GR (EUC), SJIS, UCS
泥,1-37-05,4525,C5A5,9344,U+6CE5
的,1-37-10,452A,C5AA,9349,U+7684
笛,1-37-11,452B,C5AB,934A,U+7B1B
摘,1-37-06,4526,C5A6,9345,U+6458
滴,1-37-09,4529,C5A9,9348,U+6EF4
適,1-37-12,452C,C5AC,934B,U+9069
敵,1-37-08,4528,C5A8,9347,U+6575
溺,1-37-14,452E,C5AE,934D,U+6EBA
迭,1-37-19,4533,C5B3,9352,U+8FED
哲,1-37-15,452F,C5AF,934E,U+54F2
鉄,1-37-20,4534,C5B4,9353,U+9244
徹,1-37-16,4530,C5B0,934F,U+5FB9
撤,1-37-17,4531,C5B1,9350,U+64A4
天,1-37-23,4537,C5B7,9356,U+5929
典,1-37-21,4535,C5B5,9354,U+5178
店,1-37-25,4539,C5B9,9358,U+5E97
点,1-37-32,4540,C5C0,935F,U+70B9
展,1-37-24,4538,C5B8,9357,U+5C55
添,1-37-26,453A,C5BA,9359,U+6DFB
転,1-37-30,453E,C5BE,935D,U+8EE2
塡,1-15-56,2F58,AFD8,8877,U+5861
田,1-37-36,4544,C5C4,9363,U+7530
伝,1-37-33,4541,C5C1,9360,U+4F1D
殿,1-37-34,4542,C5C2,9361,U+6BBF
電,1-37-37,4545,C5C5,9364,U+96FB
斗,1-37-45,454D,C5CD,936C,U+6597
吐,1-37-39,4547,C5C7,9366,U+5410
妬,1-37-42,454A,C5CA,9369,U+59AC
徒,1-37-44,454C,C5CC,936B,U+5F92
途,1-37-51,4553,C5D3,9372,U+9014
都,1-37-52,4554,C5D4,9373,U+90FD
渡,1-37-47,454F,C5CF,936E,U+6E21
塗,1-37-41,4549,C5C9,9368,U+5857
賭,1-37-50,4552,C5D2,9371,U+8CED
土,1-37-58,455A,C5DA,9379,U+571F
奴,1-37-59,455B,C5DB,937A,U+5974
努,1-37-56,4558,C5D8,9377,U+52AA
度,1-37-57,4559,C5D9,9378,U+5EA6
怒,1-37-60,455C,C5DC,937B,U+6012
刀,1-37-65,4561,C5E1,9381,U+5200
冬,1-37-63,455F,C5DF,937E,U+51AC
灯,1-37-84,4574,C5F4,9394,U+706F
当,1-37-86,4576,C5F6,9396,U+5F53
投,1-37-74,456A,C5EA,938A,U+6295
豆,1-38-06,4626,C6A6,93A4,U+8C46
東,1-37-76,456C,C5EC,938C,U+6771
到,1-37-94,457E,C5FE,939E,U+5230
逃,1-38-08,4628,C6A8,93A6,U+9003
倒,1-37-61,455D,C5DD,937C,U+5012
凍,1-37-64,4560,C5E0,9380,U+51CD
唐,1-37-66,4562,C5E2,9382,U+5510
島,1-37-71,4567,C5E7,9387,U+5CF6
桃,1-37-77,456D,C5ED,938D,U+6843
討,1-38-04,4624,C6A4,93A2,U+8A0E
透,1-38-09,4629,C6A9,93A7,U+900F
党,1-37-62,455E,C5DE,937D,U+515A
悼,1-37-73,4569,C5E9,9389,U+60BC
盗,1-37-80,4570,C5F0,9390,U+76D7
陶,1-38-11,462B,C6AB,93A9,U+9676
塔,1-37-67,4563,C5E3,9383,U+5854
搭,1-37-75,456B,C5EB,938B,U+642D
棟,1-37-79,456F,C5EF,938F,U+68DF
湯,1-37-82,4572,C5F2,9392,U+6E6F
痘,1-37-87,4577,C5F7,9397,U+75D8
登,1-37-48,4550,C5D0,936F,U+767B
答,1-37-90,457A,C5FA,939A,U+7B54
等,1-37-89,4579,C5F9,9399,U+7B49
筒,1-37-91,457B,C5FB,939B,U+7B52
統,1-37-93,457D,C5FD,939D,U+7D71
稲,1-16-80,3070,B0F0,88EE,U+7A32
踏,1-38-07,4627,C6A7,93A5,U+8E0F
糖,1-37-92,457C,C5FC,939C,U+7CD6
頭,1-38-12,462C,C6AC,93AA,U+982D
謄,1-38-05,4625,C6A5,93A3,U+8B04
藤,1-38-03,4623,C6A3,93A1,U+85E4
闘,1-38-14,462E,C6AE,93AC,U+95D8
騰,1-38-13,462D,C6AD,93AB,U+9A30
同,1-38-17,4631,C6B1,93AF,U+540C
洞,1-38-22,4636,C6B6,93B4,U+6D1E
胴,1-38-25,4639,C6B9,93B7,U+80F4
動,1-38-16,4630,C6B0,93AE,U+52D5
堂,1-38-18,4632,C6B2,93B0,U+5802
童,1-38-24,4638,C6B8,93B6,U+7AE5
道,1-38-27,463B,C6BB,93B9,U+9053
働,1-38-15,462F,C6AF,93AD,U+50CD
銅,1-38-28,463C,C6BC,93BA,U+9285
導,1-38-19,4633,C6B3,93B1,U+5C0E
瞳,1-38-23,4637,C6B7,93B5,U+77B3
峠,1-38-29,463D,C6BD,93BB,U+5CE0
匿,1-38-31,463F,C6BF,93BD,U+533F
特,1-38-35,4643,C6C3,93C1,U+7279
得,1-38-32,4640,C6C0,93BE,U+5F97
督,1-38-36,4644,C6C4,93C2,U+7763
徳,1-38-33,4641,C6C1,93BF,U+5FB3
篤,1-38-38,4646,C6C6,93C4,U+7BE4
毒,1-38-39,4647,C6C7,93C5,U+6BD2
独,1-38-40,4648,C6C8,93C6,U+72EC
読,1-38-41,4649,C6C9,93C7,U+8AAD
栃,1-38-42,464A,C6CA,93C8,U+6803
凸,1-38-44,464C,C6CC,93CA,U+51F8
突,1-38-45,464D,C6CD,93CB,U+7A81
届,1-38-47,464F,C6CF,93CD,U+5C4A
屯,1-38-54,4656,C6D6,93D4,U+5C6F
豚,1-38-58,465A,C6DA,93D8,U+8C5A
頓,1-38-60,465C,C6DC,93DA,U+9813
貪,1-76-37,6C45,ECC5,E6C3,U+8CAA
鈍,1-38-63,465F,C6DF,93DD,U+920D
曇,1-38-62,465E,C6DE,93DC,U+66C7
丼,1-48-07,5027,D0A7,98A5,U+4E3C
那,1-38-65,4661,C6E1,93DF,U+90A3
奈,1-38-64,4660,C6E0,93DE,U+5948
内,1-38-66,4662,C6E2,93E0,U+5185
梨,1-45-92,4D7C,CDFC,979C,U+68A8
謎,1-38-70,4666,C6E6,93E4,U+8B0E
鍋,1-38-73,4669,C6E9,93E7,U+934B
南,1-38-78,466E,C6EE,93EC,U+5357
軟,1-38-80,4670,C6F0,93EE,U+8EDF
難,1-38-81,4671,C6F1,93EF,U+96E3
二,1-38-83,4673,C6F3,93F1,U+4E8C
尼,1-38-84,4674,C6F4,93F2,U+5C3C
弐,1-38-85,4675,C6F5,93F3,U+5F10
匂,1-38-87,4677,C6F7,93F5,U+5302
肉,1-38-89,4679,C6F9,93F7,U+8089
虹,1-38-90,467A,C6FA,93F8,U+8679
日,1-38-92,467C,C6FC,93FA,U+65E5
入,1-38-94,467E,C6FE,93FC,U+5165
乳,1-38-93,467D,C6FD,93FB,U+4E73
尿,1-39-02,4722,C7A2,9441,U+5C3F
任,1-39-04,4724,C7A4,9443,U+4EFB
妊,1-39-05,4725,C7A5,9444,U+598A
忍,1-39-06,4726,C7A6,9445,U+5FCD
認,1-39-07,4727,C7A7,9446,U+8A8D
寧,1-39-11,472B,C7AB,944A,U+5BE7
熱,1-39-14,472E,C7AE,944D,U+71B1
年,1-39-15,472F,C7AF,944E,U+5E74
念,1-39-16,4730,C7B0,944F,U+5FF5
捻,1-39-17,4731,C7B1,9450,U+637B
粘,1-39-20,4734,C7B4,9453,U+7C98
燃,1-39-19,4733,C7B3,9452,U+71C3
悩,1-39-26,473A,C7BA,9459,U+60A9
納,1-39-28,473C,C7BC,945B,U+7D0D
能,1-39-29,473D,C7BD,945C,U+80FD
脳,1-39-30,473E,C7BE,945D,U+8133
農,1-39-32,4740,C7C0,945F,U+8FB2
濃,1-39-27,473B,C7BB,945A,U+6FC3
把,1-39-36,4744,C7C4,9463,U+628A
波,1-39-40,4748,C7C8,9467,U+6CE2
派,1-39-41,4749,C7C9,9468,U+6D3E
破,1-39-43,474B,C7CB,946A,U+7834
覇,1-39-38,4746,C7C6,9465,U+8987
馬,1-39-47,474F,C7CF,946E,U+99AC
婆,1-39-44,474C,C7CC,946B,U+5A46
罵,1-39-45,474D,C7CD,946C,U+7F75
拝,1-39-50,4752,C7D2,9471,U+62DD
杯,1-39-53,4755,C7D5,9474,U+676F
背,1-39-56,4758,C7D8,9477,U+80CC
肺,1-39-57,4759,C7D9,9478,U+80BA
俳,1-39-48,4750,C7D0,946F,U+4FF3
配,1-39-59,475B,C7DB,947A,U+914D
排,1-39-51,4753,C7D3,9472,U+6392
敗,1-39-52,4754,C7D4,9473,U+6557
廃,1-39-49,4751,C7D1,9470,U+5EC3
輩,1-39-58,475A,C7DA,9479,U+8F29
売,1-39-68,4764,C7E4,9484,U+58F2
倍,1-39-60,475C,C7DC,947B,U+500D
梅,1-39-63,475F,C7DF,947E,U+6885
培,1-39-61,475D,C7DD,947C,U+57F9
陪,1-39-70,4766,C7E6,9486,U+966A
媒,1-39-62,475E,C7DE,947D,U+5A92
買,1-39-67,4763,C7E3,9483,U+8CB7
賠,1-39-69,4765,C7E5,9485,U+8CE0
白,1-39-82,4772,C7F2,9492,U+767D
伯,1-39-76,476C,C7EC,948C,U+4F2F
拍,1-39-79,476F,C7EF,948F,U+62CD
泊,1-39-81,4771,C7F1,9491,U+6CCA
迫,1-39-87,4777,C7F7,9497,U+8FEB
剝,1-15-94,2F7E,AFFE,889E,U+525D
舶,1-39-85,4775,C7F5,9495,U+8236
博,1-39-78,476E,C7EE,948E,U+535A
薄,1-39-86,4776,C7F6,9496,U+8584
麦,1-39-94,477E,C7FE,949E,U+9EA6
漠,1-39-89,4779,C7F9,9499,U+6F20
縛,1-39-91,477B,C7FB,949B,U+7E1B
爆,1-39-90,477A,C7FA,949A,U+7206
箱,1-40-02,4822,C8A2,94A0,U+7BB1
箸,1-40-04,4824,C8A4,94A2,U+7BB8
畑,1-40-10,482A,C8AA,94A8,U+7551
肌,1-40-09,4829,C8A9,94A7,U+808C
八,1-40-12,482C,C8AC,94AA,U+516B
鉢,1-40-13,482D,C8AD,94AB,U+9262
発,1-40-15,482F,C8AF,94AD,U+767A
髪,1-40-17,4831,C8B1,94AF,U+9AEA
伐,1-40-18,4832,C8B2,94B0,U+4F10
抜,1-40-20,4834,C8B4,94B2,U+629C
罰,1-40-19,4833,C8B3,94B1,U+7F70
閥,1-40-22,4836,C8B6,94B4,U+95A5
反,1-40-31,483F,C8BF,94BD,U+53CD
半,1-40-30,483E,C8BE,94BC,U+534A
氾,1-40-37,4845,C8C5,94C3,U+6C3E
犯,1-40-40,4848,C8C8,94C6,U+72AF
帆,1-40-33,4841,C8C1,94BF,U+5E06
汎,1-40-38,4846,C8C6,94C4,U+6C4E
伴,1-40-28,483C,C8BC,94BA,U+4F34
判,1-40-29,483D,C8BD,94BB,U+5224
坂,1-26-68,3A64,BAE4,8DE2,U+5742
阪,1-26-69,3A65,BAE5,8DE3,U+962A
板,1-40-36,4844,C8C4,94C2,U+677F
版,1-40-39,4847,C8C7,94C5,U+7248
班,1-40-41,4849,C8C9,94C7,U+73ED
畔,1-40-42,484A,C8CA,94C8,U+7554
般,1-40-44,484C,C8CC,94CA,U+822C
販,1-40-46,484E,C8CE,94CC,U+8CA9
斑,1-40-35,4843,C8C3,94C1,U+6591
飯,1-40-51,4853,C8D3,94D1,U+98EF
搬,1-40-34,4842,C8C2,94C0,U+642C
煩,1-40-49,4851,C8D1,94CF,U+7169
頒,1-40-50,4852,C8D2,94D0,U+9812
範,1-40-47,484F,C8CF,94CD,U+7BC4
繁,1-40-43,484B,C8CB,94C9,U+7E41
藩,1-40-45,484D,C8CD,94CB,U+85E9
晩,1-40-53,4855,C8D5,94D3,U+6669
番,1-40-54,4856,C8D6,94D4,U+756A
蛮,1-40-58,485A,C8DA,94D8,U+86EE
盤,1-40-55,4857,C8D7,94D5,U+76E4
比,1-40-70,4866,C8E6,94E4,U+6BD4
皮,1-40-73,4869,C8E9,94E7,U+76AE
妃,1-40-62,485E,C8DE,94DC,U+5983
否,1-40-61,485D,C8DD,94DB,U+5426
批,1-40-67,4863,C8E3,94E1,U+6279
彼,1-40-64,4860,C8E0,94DE,U+5F7C
披,1-40-68,4864,C8E4,94E2,U+62AB
肥,1-40-78,486E,C8EE,94EC,U+80A5
非,1-40-83,4873,C8F3,94F1,U+975E
卑,1-40-60,485C,C8DC,94DA,U+5351
飛,1-40-84,4874,C8F4,94F2,U+98DB
疲,1-40-72,4868,C8E8,94E6,U+75B2
秘,1-40-75,486B,C8EB,94E9,U+79D8
被,1-40-79,486F,C8EF,94ED,U+88AB
悲,1-40-65,4861,C8E1,94DF,U+60B2
扉,1-40-66,4862,C8E2,94E0,U+6249
費,1-40-81,4871,C8F1,94EF,U+8CBB
碑,1-40-74,486A,C8EA,94E8,U+7891
罷,1-40-77,486D,C8ED,94EB,U+7F77
避,1-40-82,4872,C8F2,94F0,U+907F
尾,1-40-88,4878,C8F8,94F6,U+5C3E
眉,1-40-93,487D,C8FD,94FB,U+7709
美,1-40-94,487E,C8FE,94FC,U+7F8E
備,1-40-87,4877,C8F7,94F5,U+5099
微,1-40-89,4879,C8F9,94F7,U+5FAE
鼻,1-41-01,4921,C9A1,9540,U+9F3B
膝,1-41-08,4928,C9A8,9547,U+819D
肘,1-41-10,492A,C9AA,9549,U+8098
匹,1-41-04,4924,C9A4,9543,U+5339
必,1-41-12,492C,C9AC,954B,U+5FC5
泌,1-40-71,4867,C8E7,94E5,U+6CCC
筆,1-41-14,492E,C9AE,954D,U+7B46
姫,1-41-17,4931,C9B1,9550,U+59EB
百,1-41-20,4934,C9B4,9553,U+767E
氷,1-41-25,4939,C9B9,9558,U+6C37
表,1-41-29,493D,C9BD,955C,U+8868
俵,1-41-22,4936,C9B6,9555,U+4FF5
票,1-41-28,493C,C9BC,955B,U+7968
評,1-41-30,493E,C9BE,955D,U+8A55
漂,1-41-26,493A,C9BA,9559,U+6F02
標,1-41-24,4938,C9B8,9557,U+6A19
苗,1-41-36,4944,C9C4,9563,U+82D7
秒,1-41-35,4943,C9C3,9562,U+79D2
病,1-41-34,4942,C9C2,9561,U+75C5
描,1-41-33,4941,C9C1,9560,U+63CF
猫,1-39-13,472D,C7AD,944C,U+732B
品,1-41-42,494A,C9CA,9569,U+54C1
浜,1-41-45,494D,C9CD,956C,U+6D5C
貧,1-41-47,494F,C9CF,956E,U+8CA7
賓,1-41-48,4950,C9D0,956F,U+8CD3
頻,1-41-49,4951,C9D1,9570,U+983B
敏,1-41-50,4952,C9D2,9571,U+654F
瓶,1-41-51,4953,C9D3,9572,U+74F6
不,1-41-52,4954,C9D4,9573,U+4E0D
夫,1-41-55,4957,C9D7,9576,U+592B
父,1-41-67,4963,C9E3,9583,U+7236
付,1-41-53,4955,C9D5,9574,U+4ED8
布,1-41-59,495B,C9DB,957A,U+5E03
扶,1-41-62,495E,C9DE,957D,U+6276
府,1-41-60,495C,C9DC,957B,U+5E9C
怖,1-41-61,495D,C9DD,957C,U+6016
阜,1-41-76,496C,C9EC,958C,U+961C
附,1-41-77,496D,C9ED,958D,U+9644
訃,1-75-30,6B3E,EBBE,E65D,U+8A03
負,1-41-73,4969,C9E9,9589,U+8CA0
赴,1-41-75,496B,C9EB,958B,U+8D74
浮,1-41-66,4962,C9E2,9582,U+6D6E
婦,1-41-56,4958,C9D8,9577,U+5A66
符,1-41-68,4964,C9E4,9584,U+7B26
富,1-41-57,4959,C9D9,9578,U+5BCC
普,1-41-65,4961,C9E1,9581,U+666E
腐,1-41-69,4965,C9E5,9585,U+8150
敷,1-41-63,495F,C9DF,957E,U+6577
膚,1-41-70,4966,C9E6,9586,U+819A
賦,1-41-74,496A,C9EA,958A,U+8CE6
譜,1-41-72,4968,C9E8,9588,U+8B5C
侮,1-41-78,496E,C9EE,958E,U+4FAE
武,1-41-80,4970,C9F0,9590,U+6B66
部,1-41-84,4974,C9F4,9594,U+90E8
舞,1-41-81,4971,C9F1,9591,U+821E
封,1-41-85,4975,C9F5,9595,U+5C01
風,1-41-87,4977,C9F7,9597,U+98A8
伏,1-41-90,497A,C9FA,959A,U+4F0F
服,1-41-94,497E,C9FE,959E,U+670D
副,1-41-91,497B,C9FB,959B,U+526F
幅,1-41-93,497D,C9FD,959D,U+5E45
復,1-41-92,497C,C9FC,959C,U+5FA9
福,1-42-01,4A21,CAA1,959F,U+798F
腹,1-42-02,4A22,CAA2,95A0,U+8179
複,1-42-03,4A23,CAA3,95A1,U+8907
覆,1-42-04,4A24,CAA4,95A2,U+8986
払,1-42-07,4A27,CAA7,95A5,U+6255
沸,1-42-08,4A28,CAA8,95A6,U+6CB8
仏,1-42-09,4A29,CAA9,95A7,U+4ECF
物,1-42-10,4A2A,CAAA,95A8,U+7269
粉,1-42-20,4A34,CAB4,95B2,U+7C89
紛,1-42-22,4A36,CAB6,95B4,U+7D1B
雰,1-42-23,4A37,CAB7,95B5,U+96F0
噴,1-42-14,4A2E,CAAE,95AC,U+5674
墳,1-42-15,4A2F,CAAF,95AD,U+58B3
憤,1-42-16,4A30,CAB0,95AE,U+61A4
奮,1-42-19,4A33,CAB3,95B1,U+596E
分,1-42-12,4A2C,CAAC,95AA,U+5206
文,1-42-24,4A38,CAB8,95B6,U+6587
聞,1-42-25,4A39,CAB9,95B7,U+805E
丙,1-42-26,4A3A,CABA,95B8,U+4E19
平,1-42-31,4A3F,CABF,95BD,U+5E73
兵,1-42-28,4A3C,CABC,95BA,U+5175
併,1-42-27,4A3B,CABB,95B9,U+4F75
並,1-42-34,4A42,CAC2,95C0,U+4E26
柄,1-42-33,4A41,CAC1,95BF,U+67C4
陛,1-42-37,4A45,CAC5,95C3,U+965B
閉,1-42-36,4A44,CAC4,95C2,U+9589
塀,1-42-29,4A3D,CABD,95BB,U+5840
幣,1-42-30,4A3E,CABE,95BC,U+5E63
弊,1-42-32,4A40,CAC0,95BE,U+5F0A
蔽,1-42-35,4A43,CAC3,95C1,U+853D
餅,1-44-63,4C5F,CCDF,96DD,U+9905
米,1-42-38,4A46,CAC6,95C4,U+7C73
壁,1-42-41,4A49,CAC9,95C7,U+58C1
璧,1-64-90,607A,E0FA,E0F8,U+74A7
癖,1-42-42,4A4A,CACA,95C8,U+7656
別,1-42-44,4A4C,CACC,95CA,U+5225
蔑,1-42-46,4A4E,CACE,95CC,U+8511
片,1-42-50,4A52,CAD2,95D0,U+7247
辺,1-42-53,4A55,CAD5,95D3,U+8FBA
返,1-42-54,4A56,CAD6,95D4,U+8FD4
変,1-42-49,4A51,CAD1,95CF,U+5909
偏,1-42-48,4A50,CAD0,95CE,U+504F
遍,1-42-55,4A57,CAD7,95D5,U+904D
編,1-42-52,4A54,CAD4,95D2,U+7DE8
弁,1-42-59,4A5B,CADB,95D9,U+5F01
便,1-42-56,4A58,CAD8,95D6,U+4FBF
勉,1-42-57,4A59,CAD9,95D7,U+52C9
歩,1-42-66,4A62,CAE2,95E0,U+6B69
保,1-42-61,4A5D,CADD,95DB,U+4FDD
哺,1-51-14,532E,D3AE,9A4D,U+54FA
捕,1-42-65,4A61,CAE1,95DF,U+6355
補,1-42-68,4A64,CAE4,95E2,U+88DC
舗,1-42-62,4A5E,CADE,95DC,U+8217
母,1-42-76,4A6C,CAEC,95EA,U+6BCD
募,1-42-71,4A67,CAE7,95E5,U+52DF
墓,1-42-72,4A68,CAE8,95E6,U+5893
慕,1-42-73,4A69,CAE9,95E7,U+6155
暮,1-42-75,4A6B,CAEB,95E9,U+66AE
簿,1-42-77,4A6D,CAED,95EB,U+7C3F
方,1-42-93,4A7D,CAFD,95FB,U+65B9
包,1-42-81,4A71,CAF1,95EF,U+5305
芳,1-43-07,4B27,CBA7,9646,U+82B3
邦,1-43-14,4B2E,CBAE,964D,U+90A6
奉,1-42-84,4A74,CAF4,95F2,U+5949
宝,1-42-85,4A75,CAF5,95F3,U+5B9D
抱,1-42-90,4A7A,CAFA,95F8,U+62B1
放,1-42-92,4A7C,CAFC,95FA,U+653E
法,1-43-01,4B21,CBA1,9640,U+6CD5
泡,1-43-02,4B22,CBA2,9641,U+6CE1
胞,1-43-06,4B26,CBA6,9645,U+80DE
俸,1-42-80,4A70,CAF0,95EE,U+4FF8
倣,1-42-79,4A6F,CAEF,95ED,U+5023
峰,1-42-86,4A76,CAF6,95F4,U+5CF0
砲,1-43-04,4B24,CBA4,9643,U+7832
崩,1-42-88,4A78,CAF8,95F6,U+5D29
訪,1-43-12,4B2C,CBAC,964B,U+8A2A
報,1-42-83,4A73,CAF3,95F1,U+5831
蜂,1-43-10,4B2A,CBAA,9649,U+8702
豊,1-43-13,4B2D,CBAD,964C,U+8C4A
飽,1-43-16,4B30,CBB0,964F,U+98FD
褒,1-43-11,4B2B,CBAB,964A,U+8912
縫,1-43-05,4B25,CBA5,9644,U+7E2B
亡,1-43-20,4B34,CBB4,9653,U+4EA1
乏,1-43-19,4B33,CBB3,9652,U+4E4F
忙,1-43-27,4B3B,CBBB,965A,U+5FD9
坊,1-43-23,4B37,CBB7,9656,U+574A
妨,1-43-24,4B38,CBB8,9657,U+59A8
忘,1-43-26,4B3A,CBBA,9659,U+5FD8
防,1-43-41,4B49,CBC9,9668,U+9632
房,1-43-28,4B3C,CBBC,965B,U+623F
肪,1-43-35,4B43,CBC3,9662,U+80AA
某,1-43-31,4B3F,CBBF,965E,U+67D0
冒,1-43-33,4B41,CBC1,9660,U+5192
剖,1-43-22,4B36,CBB6,9655,U+5256
紡,1-43-34,4B42,CBC2,9661,U+7D21
望,1-43-30,4B3E,CBBE,965D,U+671B
傍,1-43-21,4B35,CBB5,9654,U+508D
帽,1-43-25,4B39,CBB9,9658,U+5E3D
棒,1-43-32,4B40,CBC0,965F,U+68D2
貿,1-43-39,4B47,CBC7,9666,U+8CBF
貌,1-43-38,4B46,CBC6,9665,U+8C8C
暴,1-43-29,4B3D,CBBD,965C,U+66B4
膨,1-43-36,4B44,CBC4,9663,U+81A8
謀,1-43-37,4B45,CBC5,9664,U+8B00
頰,1-93-90,7D7A,FDFA,EF9A,U+9830
北,1-43-44,4B4C,CBCC,966B,U+5317
木,1-44-58,4C5A,CCDA,96D8,U+6728
朴,1-43-49,4B51,CBD1,9670,U+6734
牧,1-43-50,4B52,CBD2,9671,U+7267
睦,1-43-51,4B53,CBD3,9672,U+7766
僕,1-43-45,4B4D,CBCD,966C,U+50D5
墨,1-43-47,4B4F,CBCF,966E,U+58A8
撲,1-43-48,4B50,CBD0,966F,U+64B2
没,1-43-55,4B57,CBD7,9676,U+6CA1
勃,1-43-54,4B56,CBD6,9675,U+52C3
堀,1-43-57,4B59,CBD9,9678,U+5800
本,1-43-60,4B5C,CBDC,967B,U+672C
奔,1-43-59,4B5B,CBDB,967A,U+5954
翻,1-43-61,4B5D,CBDD,967C,U+7FFB
凡,1-43-62,4B5E,CBDE,967D,U+51E1
盆,1-43-63,4B5F,CBDF,967E,U+76C6
麻,1-43-67,4B63,CBE3,9683,U+9EBB
摩,1-43-64,4B60,CBE0,9680,U+6469
磨,1-43-65,4B61,CBE1,9681,U+78E8
魔,1-43-66,4B62,CBE2,9682,U+9B54
毎,1-43-72,4B68,CBE8,9688,U+6BCE
妹,1-43-69,4B65,CBE5,9685,U+59B9
枚,1-43-71,4B67,CBE7,9687,U+679A
昧,1-43-70,4B66,CBE6,9686,U+6627
埋,1-43-68,4B64,CBE4,9684,U+57CB
幕,1-43-75,4B6B,CBEB,968B,U+5E55
膜,1-43-76,4B6C,CBEC,968C,U+819C
枕,1-43-77,4B6D,CBED,968D,U+6795
又,1-43-84,4B74,CBF4,9694,U+53C8
末,1-43-86,4B76,CBF6,9696,U+672B
抹,1-43-85,4B75,CBF5,9695,U+62B9
万,1-43-92,4B7C,CBFC,969C,U+4E07
満,1-43-94,4B7E,CBFE,969E,U+6E80
慢,1-43-93,4B7D,CBFD,969D,U+6162
漫,1-44-01,4C21,CCA1,969F,U+6F2B
未,1-44-04,4C24,CCA4,96A2,U+672A
味,1-44-03,4C23,CCA3,96A1,U+5473
魅,1-44-05,4C25,CCA5,96A3,U+9B45
岬,1-44-08,4C28,CCA8,96A6,U+5CAC
密,1-44-09,4C29,CCA9,96A7,U+5BC6
蜜,1-44-10,4C2A,CCAA,96A8,U+871C
脈,1-44-14,4C2E,CCAE,96AC,U+8108
妙,1-44-15,4C2F,CCAF,96AD,U+5999
民,1-44-17,4C31,CCB1,96AF,U+6C11
眠,1-44-18,4C32,CCB2,96B0,U+7720
矛,1-44-23,4C37,CCB7,96B5,U+77DB
務,1-44-19,4C33,CCB3,96B1,U+52D9
無,1-44-21,4C35,CCB5,96B3,U+7121
夢,1-44-20,4C34,CCB4,96B2,U+5922
霧,1-44-24,4C38,CCB8,96B6,U+9727
娘,1-44-28,4C3C,CCBC,96BA,U+5A18
名,1-44-30,4C3E,CCBE,96BC,U+540D
命,1-44-31,4C3F,CCBF,96BD,U+547D
明,1-44-32,4C40,CCC0,96BE,U+660E
迷,1-44-34,4C42,CCC2,96C0,U+8FF7
冥,1-44-29,4C3D,CCBD,96BB,U+51A5
盟,1-44-33,4C41,CCC1,96BF,U+76DF
銘,1-44-35,4C43,CCC3,96C1,U+9298
鳴,1-44-36,4C44,CCC4,96C2,U+9CF4
滅,1-44-39,4C47,CCC7,96C5,U+6EC5
免,1-44-40,4C48,CCC8,96C6,U+514D
面,1-44-44,4C4C,CCCC,96CA,U+9762
綿,1-44-42,4C4A,CCCA,96C8,U+7DBF
麺,1-44-45,4C4D,CCCD,96CB,U+9EBA
茂,1-44-48,4C50,CCD0,96CE,U+8302
模,1-44-47,4C4F,CCCF,96CD,U+6A21
毛,1-44-51,4C53,CCD3,96D1,U+6BDB
妄,1-44-49,4C51,CCD1,96CF,U+5984
盲,1-44-53,4C55,CCD5,96D3,U+76F2
耗,1-44-55,4C57,CCD7,96D5,U+8017
猛,1-44-52,4C54,CCD4,96D2,U+731B
網,1-44-54,4C56,CCD6,96D4,U+7DB2
目,1-44-60,4C5C,CCDC,96DA,U+76EE
黙,1-44-59,4C5B,CCDB,96D9,U+9ED9
門,1-44-71,4C67,CCE7,96E5,U+9580
紋,1-44-70,4C66,CCE6,96E4,U+7D0B
問,1-44-68,4C64,CCE4,96E2,U+554F
冶,1-44-74,4C6A,CCEA,96E8,U+51B6
夜,1-44-75,4C6B,CCEB,96E9,U+591C
野,1-44-78,4C6E,CCEE,96EC,U+91CE
弥,1-44-79,4C6F,CCEF,96ED,U+5F25
厄,1-44-81,4C71,CCF1,96EF,U+5384
役,1-44-82,4C72,CCF2,96F0,U+5F79
約,1-44-83,4C73,CCF3,96F1,U+7D04
訳,1-44-85,4C75,CCF5,96F3,U+8A33
薬,1-44-84,4C74,CCF4,96F2,U+85AC
躍,1-44-86,4C76,CCF6,96F4,U+8E8D
闇,1-16-39,3047,B0C7,88C5,U+95C7
由,1-45-19,4D33,CDB3,9752,U+7531
油,1-44-93,4C7D,CCFD,96FB,U+6CB9
喩,1-51-40,5348,D3C8,9A67,U+55A9
愉,1-44-91,4C7B,CCFB,96F9,U+6109
諭,1-45-01,4D21,CDA1,9740,U+8AED
輸,1-45-02,4D22,CDA2,9741,U+8F38
癒,1-44-94,4C7E,CCFE,96FC,U+7652
